事件id,事件名称,朝代,时期,年号,年份,事件简介,事件内容,检索词,事件类别,特征类别,一级地点,二级地点,相关人物,相关作品
1,“金陵十景”的形成,宋,北宋;明,,,“金陵十景”的形成与宋迪“潇湘晚景图”、文澂明《金陵十景册》、文伯仁《金陵十八景册》有关,据说这种归纳始于北宋画家宋迪所作“潇湘晚景图”，此后就不断为人所仿效。南京之形成“金陵十景”似乎要晚一些，而且最初好像也不是南京人在凑热闹。有据可查的是，“明四家”之一的文澂明曾绘有《金陵十景册》；其从侄文伯仁亦画有《金陵十八景册》，所绘诸景是：三山、草堂、雨花台、牛首山、莫愁湖、摄山、凤凰台、新亭、石头城、长干里、白鹭洲、青溪、燕子肌、太平堤、桃叶渡、白门、方山、新林浦。文徽明是苏州人，文伯仁也只能算寓居南京。,金陵十景,作品事件,现象+文人+作品,南京,三山、草堂、雨花台、牛首山、莫愁湖、摄山、凤凰台、新亭、石头城、长干里、白鹭洲、青溪、燕子肌、太平堤、桃叶渡、白门、方山、新林浦,宋迪、文澂明、文伯仁,《潇湘晚景图》、《金陵十景册》、《金陵十八景册》
2,众多文人题咏金陵胜迹,宋,北宋;明;清,,,金陵胜迹为人题咏者甚多,当然此前此后金陵胜迹为人题咏者已甚多。有人检王安石集中纪游诗，直接提到金陵景观的，竟得136首，江总宅、青溪、钟山、八功德水、谢公墩、祈泽寺、冶城、雨花台、光宅寺、覆舟山、玄武湖等为后世所称赏的景点俱在其中。王氏毕竟是非同凡响的人物，所以诗中或咏景、或抒情、或纪游、或怀古，率性自然、直写胸臆，决不费心去翻检故典，落人窠臼，更无刻意纠合成数的小家子气。以《板桥杂记》闻名于世的明遗民余怀（淡心），清顺治初年也有《咏怀古迹》29首，所选几乎全是南京的人文景观，包括当时早经泯灭的谢公墩、新亭、麾扇渡、孙楚酒楼、临春阁、劳劳亭、景阳楼、羊昙别墅等，题旨自如书名所出尽属怀古；康熙七年（1168）他又有《味外轩集》戊申看花诗》100首，写到当时南京大量的园林名胜和花木之盛，以及文人学士的游赏活动。顺治末年，王士祯刊印《秦淮杂诗》，自述因“所居在秦淮之侧，所咏皆秦淮之事”，也没有做出“秦淮X景”的姿态来。,金陵胜迹,作品事件,地点+现象,南京,江总宅、青溪、钟山、八功德水、谢公墩、祈泽寺、冶城、雨花台、光宅寺、覆舟山、玄武湖、新亭、麾扇渡、孙楚酒楼、临春阁、劳劳亭、景阳楼、羊昙别墅,王安石、余怀、王士祯,《板桥杂记》、《咏怀古迹》、《味外轩集·戊申看花诗》、《秦淮杂诗》
3,盛时泰拟金陵十景,明,明,嘉靖,,盛时泰拟金陵十景,此间可以作为插曲的，一是周晖《金陵琐记》记明嘉靖年间贡生盛时泰（仲交）所拟金陵十景，盛氏所欣赏的是祈泽寺龙泉、天宁寺流水、玉皇山观松林、龙泉庵石壁、云居寺古松、朝真观桧径、宫氏泉大竹、虎洞庵奇石、天印山龙池、东山寺蔷薇——周氏说，“此十景皆世人所忽，仲交所独取者”。想来此时“金陵X景”的说法已经不少。盛氏这十景所取全属山水竹木，颇有与骚人墨客重人文景观轻自然景观的心态唱一唱对台戏的味道。他是南京人，能别具只眼，该是深得此中况味的。,金陵十景,作品事件,文人+现象,金陵,祈泽寺龙泉、天宁寺流水、玉皇山观松林、龙泉庵石壁、云居寺古松、朝真观桧径、宫氏泉大竹、虎洞庵奇石、天印山龙池、东山寺蔷薇,周晖、盛时泰,
4,顾起元选“南都可登临处”,明,明,万历,,顾起元《客座赘语》中记“南都可登临处”，“在城中则有六”，“在城外近郊则有十四”,二是万历年间顾起元《客座赘语》中记“南都可登临处”，“在城中则有六”，为清凉山的清凉寺、鸡笼山的鸡鸣寺、谢公墩的永庆寺、冶城、马鞍山的金陵寺和狮子山的卢龙观；“在城外近郊则有十四”，分别是中华门外大报恩寺琉璃塔、天界寺，雨花台的高座寺和为纪念方孝孺而建的木末亭，牛首山的天阙、献花岩、祖堂山，摄山的栖霞寺，弘济寺，燕子矶，一线天嘉善寺，梅花水的崇化寺，幕府山的幕府寺和夹萝峰太子凹。所取多为佛寺，恐怕未必是顾氏于佛寺有所偏好，而是应了那句“天下名山僧占多”的老话。,“南都可登临处”,作品事件,文人+作品,南京,清凉山、清凉寺、鸡笼山、鸡鸣寺、谢公墩、永庆寺、冶城、马鞍山、金陵寺、狮子山、卢龙观、中华门外大报恩寺琉璃塔、天界寺、雨花台、高座寺、木末亭、牛首山、天阙、献花岩、祖堂山、摄山、栖霞寺、弘济寺、燕子矶、一线天嘉善寺、梅花水、崇化寺、幕府山、幕府寺、夹萝峰太子凹,顾起元、方孝孺,
5,南京人咏金陵名胜,明,明,万历,,余梦麟著诗纪金陵名胜20处，并与焦竑、朱之蕃作《雅游篇》,南京人也加入这种有图有咏的大合唱，是明代万历年间的事情。据顾起元《客座赘语》，先是榜眼余梦麟（幼峰）以生平所游览金陵诸名胜20处，各著诗纪之，并约焦竑（弱侯）、朱之蕃（兰隅）先后二位状元公与探花顾起元同唱和，诗作汇为一集，名之曰《雅游篇》，刊行于世，一时以为胜事。,金陵名胜,作品事件,文人+地点+作品,金陵,,顾起元、余梦麟、焦竑、朱之蕃,《雅游篇》
6,金陵名胜20景,明,明,万历,,余梦麟著诗纪金陵名胜20景,余氏所选的20景是钟山、牛首山、梅花山、燕子矶、灵谷寺、凤凰台、桃叶渡、雨花台、方山、落星岗、献花岩、莫愁湖、清凉寺、虎洞、长干里、东山、冶城、栖霞寺、青溪、达摩洞。,金陵20景,作品事件,文人+地点+作品,南京,钟山、牛首山、梅花山、燕子矶、灵谷寺、凤凰台、桃叶渡、雨花台、方山、落星岗、献花岩、莫愁湖、清凉寺、虎洞、长干里、东山、冶城、栖霞寺、青溪、达摩洞,余梦麟,
7,朱兰隅编《金陵四十景图考诗咏》,明,明,,,朱兰隅编《金陵四十景图考诗咏》,而朱兰隅兴犹未尽，更“搜讨记载，共得四十景，属陆生寿柏策蹇浮舫，射历其境，图写逼真，撮举其概，名为小引，系以俚句”，也就是周亮工所谓“景各为图，图各为记，记各为诗”，最后编成《金陵四十景图考诗咏》。,金陵四十景,作品事件,文人+作品,金陵,,朱兰隅、周亮工,《金陵四十景图考诗咏》
8,郭仁绘《金陵八景》,明,明,万历,,郭仁绘年代最早“金陵八景图卷”,今天还能见到的年代最早的“金陵八景图卷”，也产生于明代万历年间，是万历二十八年（1600）江宁画家郭仁所绘，现藏于南京博物院。郭氏仅选“钟阜样云”、“石城瑞雪”、“龙江夜雨”、“凤台秋月”、“白鹭晴波”、“乌衣夕照”、“秦淮渔笛”、“天印樵歌”等8景为题，各作一图，并各题有七律一首。“金陵八景图卷”是后人的定名，所以也可能是郭仁画了更多的景观，而流传下来的只有这八幅。,金陵八景,作品事件,文人+作品,金陵,,郭仁,《金陵八景图卷》
9,高岑绘《金陵四十景》,清,清,,,周亮工为高岑所绘《金陵四十景图》写题跋,到清初，“金陵八家”之一的高岑又绘过《金陵四十景图》，周亮工为这部图册写了题跋，回顾了“金陵山水，旧传八景、十景、四十景，画家皆图绘”的历程。高氏这一组金陵景物图后来刊入康熙《江宁府志》。,金陵四十景,作品事件,文人+作品,金陵,,高岑、周亮工,《金陵四十景图》、《江宁府志》
10,余宾硕作《金陵览古》，周亮工作序,明,明;清,,,余宾硕疑为怀念明王朝作《金陵览古》，周亮工为其作序,同样得周亮作序的是余宾硕的《金陵览古》，余宾硕是余淡心的儿子，也颇有前明遗少风韵，他在康熙五年（1666），“周游山水之间，感慨兴亡之事，探奇揽胜，索隐穷幽，地各为诗，诗各为记，次第汇成，凡六十首”。余氏对景点的选择排列很有趣，始于“旧内”，也就是朱元璋登基前所住的吴王府；终于“大本堂”，堂在明故宫中，用以教授太子及诸王公侯子弟，是培养接班人的所在，为国家社稷之“大本”。所以当时即被人看破，认定他是为怀念明王朝所作。陈其年的序中就隐晦地提到了这个意思，“百年社稷，徐仆射所以悲哀；满目关山，刘宾客因而悼叹……属在乱离之后，矧在谣琢之辰，用吟眺以摅愁，乃踌躇而吊古。李广对军中之簿，今何时乎；江淹上狱中之书，君其是矣”。周亮工序中一再强调“风景未殊，河山不改”，也颇有欲盖弥彰的味道。这要算是金陵景物吟咏中的一个异数。,余宾硕,作品事件,文人+作品+现象,金陵,,余宾硕、余淡心、周亮工、陈其年,《金陵览古》
