地名id,地名,繁体地名,别名,地名类别,景观类型,地理位置,朝代,时期,经度,纬度,相关作品,相关人物,相关地点,相关事件,地名描述
333,金陵,金陵,建康，建业，集庆,行政区划,,南京,明代,明代,,,《景定建康志》、《建康实录》、《客座赘语》、《洪武京城图志》、《板桥杂记》、《东城志略》、《南畿志》、《炳烛里谈》、《六朝事迹编类》、《明史》、《儒林外史》、《西塞山怀古》、《运渎桥道小志》、《献花岩志》、《凤麓小志》、《红楼梦》、《江宁府志》、《南齐书》、《南史》、《宋书》、《太平寰宇记》、《新京备乘》,太平、陈沂、李白、蒋山、方山、朱元璋、陈作霖、葛寅亮、吴贻芳、王安石、陈裕光、龚贤、江总、杨溥、刘禹锡、周晖、柯象峰、吴敬梓、朱偰、刘国钧、方文、曾极、李渔、李煜、陶行知、高岑、侯方域、胡小石、李昪、李小缘、谢安、杨文会、王世贞、文天祥、张纮、郑成功、周应合、樊圻、甘熙、葛亮、阮大铖、王浚、魏学仁、玄奘、余宾硕、曾国藩、陈文述、戴安邦、杜牧、顾璘、顾起元、李璟、马光祖、马湘兰、欧阳渐、孙明经、吴宏、谢朓、曹寅、洪秀全、金鳌、田伯烈、韦庄、叶欣、张敦颐、张僧繇、朱存、陈诒绂、程廷祚、丁雄飞、胡慥、刘基、冒襄、孙应岳、王韦、谢荪、许嵩、杨秀清、余怀、袁枚、朱绪曾、朱之蕃、邹喆,秦淮、建康、钟山、秣陵、白下、鼓楼、中央大学、上元、石头城、京城、蒋山、制造局、扬州、青溪、冶城、建业、长江、栖霞、中山、雨花台、鼓楼医院、秦淮河、方山、清凉山、台城、南门、石头山、孝陵、莫愁湖、大江、集庆、板桥、夫子庙、淮水、凤凰台、秣陵县、玄武、聚宝门、上元县、摄山、白门、朝天宫、教育部、灵谷寺、明故宫、清凉寺、三山、白下亭、工厂、虹桥、越城、报恩寺、贡院、后湖、江宁县、金山、桃叶渡、瓦官寺、镇淮桥、建康府、汉口路、天界寺、乌衣巷、玄武湖、白鹭洲、北门桥、牛首山、牌楼、随园、武昌、都督府、督府、南唐宫、石坝街、水西门、行宫、燕子矶、运渎、长干里、汇文书院、应天府、草堂、干河沿、高座寺、幕府山、栖霞寺、中华门、北极阁、仓山、兵工厂、东园、覆舟山、鸡鸣寺、金城、小仓山、白塔巷、大报恩寺、大中桥、丹阳郡、贡院街、集庆路、宁海路、赏心亭、五台山、永庆寺、宝志、钞库街、潮沟、东山、花牌楼、华山、皇城、火药局、溧水、上海路、西街、小桃园、新桥、杏花村、药局、白下城、博物院、承恩寺、观音门、静海寺、利涉桥、龙潭、南郊、内桥、青年会、通济门、文德桥、饮虹桥、长乐桥、中路、大石坝街、东关头、护城河、淮海路、机器局、鸡笼山、建康城、建康路、靖安镇、牛头山、石城山、石桥、天禧寺、土山、武定桥、谢公墩、秀山、长干桥、朱雀桥、常府街、大市、东花园、东水关、高桥、贡院西街、古林寺、后所、吉祥寺、建初寺、鹫峰寺、牛市、评事街、太平门、西园、小石坝街、新街口、延龄巷、姚家巷、中山路、粥厂、朱雀航、白下桥、成贤街、大功坊、大市桥、丹阳郡城、高淳、高桥门、海陵、汉中路、花市、淮青桥、江东门、江都、聚宝山、马鞍山、茅山、南市楼、平仓、前湖、神策门、神乐观、升平桥、圣公会、狮子山、市政府、四望山、太平路、天妃宫、天津桥、乌龙潭、西水关、象山、孝陵卫、新亭、长乐渡,朱元璋克金陵、金文石以忧病卒、杨循吉得《董解元诸宫调西厢记》并作校订、周曰校万卷楼刊《三国志通俗演义》、周晖《金陵琐事》刊刻、李渔《闲情偶寄》定稿、金陵荣盛堂刊印《贞烈贤孝孟姜女长城宝卷》、太平军攻占金陵、太平天国定都天京、私立金陵大学成立、金陵大学新剧团成立、克乃文任金陵大学图书馆馆长、周明懿香等首次尝试用自制的幻灯片为农民放映、《图书馆学季刊》创刊、刘国钧代理金陵大学图书馆馆长、金陵大学文学院设图书馆科、中国第一个大学图书馆学系在金陵大学成立、中华图书馆协会召开第一次年会、晓庄剧社公演、金大剧社公演《回家以后》等、金大剧社公演《白茶》等、《中央日报》出版由金陵剧社撰稿的《戏剧专刊》、田汉来南京筹备南国社公演、《中央日报》出版《戏剧专刊》、金陵大学青年会举行音乐会、金大青年会开映辱国影片、陈裕光报告青年会演放电影辱国案处置办法、金陵大学学生抗议薛福摄制辱影片、金陵剧社第三次公演、府东街青年会邀请金陵大学弦乐团演奏、金陵女子文理学院举行建校十五周年游艺会、金陵大学理学院成立电影教育委员会、元旦游艺会举行、南京妇女协会公演、上海中华口琴会演出、南京市教育局制订反日宣传大纲、首都新闻记者联合会等联名通电世界各国宣布日军侵略暴行、金陵大学学生会召开游艺大会、国立音乐专科学校举行音乐会、民众剧社等联合举行赈灾公演、金陵女子文理学院等设音乐系、金陵大学女生自治会公演、马太女士等举行跳舞音乐大会、谭富英等演出、中国教育电影协会和行政院教育部委托金陵大学理学院等联合拍摄《农人之春》、南京国际妇女会公演《Even The Least》、金大剧社公演、南京声歌协会开成立大会、中国教育电影协会举行盛大茶会、金陵大学理学院担任国际通讯代表、金陵大学代表团参加博览会、《日蚀》参加法国影片比赛荣获优奖、教育部要求，开办教育训练班、金陵大学理学院电影教育部成立、金陵大学理学院制定《代教育部摄制教育电影片片目及纲要草案》、12月4日金陵大学举行援绥游艺术会、小提琴演奏家在金陵大学礼堂举行独奏会、金陵女子文理学院公演舞剧《嫦娥》、励志社在金陵大学礼堂举行音乐演奏会、摄影机抢拍沦陷前夕的中华景象、掘出唐代玄奘法师遗骨及附葬品、斯义桂独唱音乐会等在三地同时举行、南京市电影播音工作者座谈会成立、国立医药专科学校公演《寄生草》、“5·20”周年纪念大会被举行、汤慧声等定期播演独脚戏曲目、南京合唱团成立、金陵大学影音部主任孙明经等调往北京新成立的中央电影学校、金陵书画家丁二仲病逝南京、南京博物院收藏龚贤的《重山烟树图》、南京市文物管理委员会等联合举办“历代金陵画家作品展览”、《金陵春暖》在新街口开拍、《金陵曲荟》在南京举行、“金陵曲荟”在南京工人文化宫举行、南京金陵光学仪器厂银燕牌镜头通过技术鉴定、南京市人民图书馆改名金陵图书馆、首届金陵百花节在夫子庙广场开幕、竺水招逝世20周年纪念会召开、金陵图书馆读者协会成立、“首届金陵合唱节”开幕、11月27日“明末清初金陵画派绘画展”在朝天宫先贤殿展出。、江苏省歌舞剧院、南京军区前线歌舞团、南京市歌舞团的18位中青年民族器乐演奏员、歌唱演员组成的江苏省民族乐团赴京，举办金陵之声音乐会、市文化局等昨起举办首届“金陵工人电影节”、南京市读者协会成立大会在金陵图书馆举行、金陵图书馆在图书分类总分第一名、农村科技教育片汇映等大型放映活动、金陵图书馆获省文化厅举办“金陵杯”、“第六届中国计划单列市公共图书馆工作研讨会”召开、“金陵民间文化庙会”在朝天宫广场隆重举行、金陵图书馆结束人工管理的历史、市文物局等举办“金陵文物旅游月”活动、金陵图书馆被评为“全国文明图书馆”、江苏省电视台等联合主办的《金陵祭》在人民大会堂举行、“播撒和平的种子——以色列农业科技国际合作图片展览”在金陵图书馆开幕、金陵图书馆荣获“江苏省公共图书馆读者服务工作知识竞赛”团体冠军、金陵图书馆荣获全国“亚农杯”农民读书征文竞赛组织奖、铃木胜久率代表团到金陵图书馆参观、“‘金陵颂’书画展”展出、金陵图书馆被评为“读者喜爱的图书馆”、纪振伦《杨家将通俗演义》刊行、《金陵杂志》统计南京城内戏茶园和戏院、金陵剧社公演、南京市文化局与秦淮区政府决定撤销金陵京剧团、中央新闻电影制片厂拍摄秦淮区中小学学生表演《蚌舞》等、前线歌舞团赴美国等两国10个城市慰问华侨社团、“金陵春·小康乐”演出在江宁县开发区举行、南京市文化局举办《金陵风》、南京举办了历史文化展览系列等活动,"明朝时期，金陵经常在诗人笔下被提及，或写景，或怀古，或送别等，比如高启曾作《登金陵雨花台望大江》。
《登金陵雨花台望大江》（节选）
高启
我生幸逢圣人起南国，祸乱初平事休息。
从今四海永为家，不用长江限南北。"
119,秦淮,秦淮,秦淮河；淮水；秦淮水,水体,史实传说与作品,秦淮河,唐代,唐代,118.7668,32.0296,《景定建康志》、《板桥杂记》、《建康实录》、《桃花扇》、《至正金陵新志》、《儒林外史》,方山、太平、蒋山、朱元璋、吴敬梓、侯方域、冒襄、谢安、李白、余怀、陈沂、杜牧、马湘兰、杨溥、曾极、孔尚任、李渔、吴梅、张孝祥,金陵、青溪、淮水、建康、夫子庙、方山、玄武、长江、运渎、钟山、京城、贡院、玄武湖、中华门、东水关、护城河、西水关、板桥、秣陵、浮桥、雨花台、石头城、通济门、桃叶渡、中山、水西门、文德桥、溧水、新桥、大江、白下、贡院街、三山、武定桥、越城、建业、江宁县、镇淮桥、潮沟、大中桥、利涉桥、南门、淮青桥、水亭、乌衣巷、白门、鼓楼、莫愁湖、扬州、斗门桥、蒋山、北门桥、东关头、上浮桥、淮清桥、建康路、秣陵县、清凉山、钓鱼巷、东府城、覆舟山、集庆、栖霞、台城、太平桥、新河、长干里、朱雀桥、溧水县、内桥、下浮桥、虹桥、建康城、上元、白鹭洲、金山、石坝街、燕雀湖、长乐路、钓鱼台、东渠、放生池、后湖、华山、鸡笼山、集庆路、马道街、牌楼、赏心亭、孝陵、横塘、升州路、石臼湖、石头山、冶城、长干桥、报恩寺、东庐山、光华门、青龙山、铁窗棂、亭山、武定门、信府河、颜料坊、饮虹桥、御河、栅塘、钞库街、东牌楼、建康府、聚宝门、柳叶街、明故宫、牛首山、瓦官寺、燕子矶、御道、骠骑航、彩霞街、船板巷、笪桥、方山埭、鸡鸣寺、九龙桥、来凤街、南郊、三山门、糖坊廊、应天府、雨花路、中华路、大报恩寺、大石坝街、东园、河街、龙潭、牛市、前湖、上元县、狮子山、市政府、仙鹤街、膺福街、折柳亭、珍珠河、朱雀航、竹桥、崇道桥、大市、丹阳郡、丹阳郡城、定淮门、高淳、湖熟镇、淮小公园、江浦、灵谷寺、龙藏浦、清凉寺、双塘、土桥、乌龙潭、五台山、行宫、长乐渡、长乐街、中山门、中正街,纪振伦《杨家将通俗演义》刊行、王安修作《打碟子歌》、秦淮两岸清音小部盛行、捧花生写成《秦淮画舫录》、陶行之等宴请南国社成员、南国社公演、梨园祖师庙筹划拆除重建、上海南艺剧团演出《殉情》等、南京市文化局与秦淮区政府决定撤销金陵京剧团、秦淮区文化馆开办新闻科教电影馆、南京文化局在瞻园举行座谈会、中央新闻电影制片厂拍摄秦淮区中小学学生表演《蚌舞》等、大华等四家影院改造成综合性娱乐中心、南京市话剧团首演话剧《秦淮人家》、《骆驼祥子》等获奖、江苏省优秀剧节目展演在南京举行、南京市话剧团进京、南京市话剧团话剧《秦淮人家》剧组记集体二等功一次、《秦淮人家》获江苏省第四届精神文明建设“五个一工程”入选作品奖、南京举办了历史文化展览系列等活动、《秦淮人家》剧组记集体一等功、“秦淮八艳”、陈寅恪编《柳如是别传》、钟敬文买《秣陵集》、蒋鸣寓结社、冶城大社、画社、金陵大会/国门广业社初集、复社同年会、楼船雅集、潘之恒三渡秦淮、茅元仪发起午日秦淮大社、顾梦游等数十人结社秦淮、顾梦游等人秦淮结社、前线话剧团的《虎踞钟山》获第八届文华奖大奖、王文耀结画社、文人所记载的“六朝文化”带有虚幻色彩,"李白于唐代宗宝应元年（762年）11月病卒于当涂。南京民间却流传着这样一个故事：李白见秦淮河中月圆如璧，遂从淮清桥跳下河去捉月而死。这个传说固然属于文学上的“异传现象”，却表达了南京人民对李白的怀念。
——《名人与南京》"
92,钟山,鐘山,蒋山;紫金山,山脉,景观描述,紫金山,唐代,唐代,118.8513,32.0714,《建康实录》、《至正金陵新志》,蒋山、太平、朱元璋、王安石、方山、葛亮、刘基、姚鼐、沈约、阮孝绪、陆游、钱大昕、周颙,金陵、蒋山、秦淮、青溪、玄武、孝陵、中山、建康、玄武湖、定林寺、雨花台、鸡笼山、白下、上元、长江、淮水、秣陵、幕府山、覆舟山、灵谷寺、太平门、金山、京城、秦淮河、大江、后湖、草堂、方山、燕雀湖、栖霞、清凉山、半山园、前湖、石头城、宝志、富贵山、朝阳门、蒋陵、台城、上元县、冶城、鼓楼、茅山、摄山、石头山、八功德水、潮沟、花山、建业、莫愁湖、牛首山、狮子山、燕子矶、天堡城、中山门、华山、皇城、龙广山、青龙山、太庙、扬州、半山寺、东山、观音门、鸡鸣埭、烈山、三山、升平桥、天文台、小茅山、大壮观山、鸡鸣寺、聚宝山、李文忠墓、龙潭、麒麟门、王庙、昭文斋、直渎山、凤凰台、淮青桥、鸡鸣山、建康城、蒋王庙、乐游苑、四望山、太平堤、汤山、土山、西峰、孝陵卫、一人泉、仪凤门、竹桥,卢前《明清戏曲史》出版、《钟山风雨》创作演出、《风雨下钟山》在南京市曙光电影院首映、南京钟山曲艺团成立、《虎踞钟山》获“’98中国曹禺戏剧文学奖”、《钟山蟠龙》获“山花奖”等、前线话剧团的《虎踞钟山》获第八届文华奖大奖、金陵名胜20景、文人所记载的“六朝文化”带有虚幻色彩、高启作诗、李商隐作诗、韦庄作诗、王安石提出终老钟山、王安石钟爱钟山、孔稚圭创作《北山移文》、王安石与苏东坡交往、众多文人题咏金陵胜迹、李白作诗、吴敬梓作23首《金陵景物图诗》,"《宿钟山知觉院》
唐李中
宿投林下寺，中夜觉神清。
磬罢僧初定，山空月又生。
笼灯吐冷艳，岩树起寒声。
待晓红尘里，依前冒远程。"
631,长江,長江,,水体,景观描述,依据《1930年代南京市实测新图》定位,近代,近代,118.7449,32.1177,,太平、朱元璋、方山、江总、李白,秦淮、京城、秦淮河、金陵、中山、玄武、钟山、玄武湖、雨花台、燕子矶、建康、金山、石头城、幕府山、护城河、鼓楼、方山、建业、武昌、挹江门、江浦、水西门、大江、国府路、栖霞、清凉山、龙潭、通济门、白鹭洲、华山、狮子山、石头山、台城、中华门、白下、板桥、宝塔、宝塔桥、工厂、江东门、江宁县、溧水、三山、阴阳营、珠江路、大胜关、黄天荡、鸡笼山、江浦县、莫愁湖、太平路、西水关、新街口、扬子江、中山路,六合洪山戏郝东方班演出《南阳关》等、中国人民解放军第三野战军七兵团三十五军文工团首次公演歌剧《白毛女》、南京市文物保管委员会举办《新中国诞生前后史料展览会》、南京博物院副院长曾昭燏等组成考古工作队至湖熟调查并编有《南京附近考古报告》、捷克斯洛伐克造型艺术展览会在南京长江路美术陈列室开幕、江苏省文化局和南京市文化处主办的《华东美术展览会》在南京开幕、“全国第二届版画展览会”在南京市长江路美术陈列馆展出、长江16-4型电影放映机获奖、“长江下游五千年文明展”开幕、《图书寿命与保护》通过鉴定、《长江·黄河》获“群星奖”金奖、无锡等十一个城市电影发行公司联合组建江“苏长江影业有限责任公司”、中日合作古代人骨比较研究成果新闻发布会在日本东京举行、“炮打后宰门”、国立美术陈列馆筹委会举行奠基仪式、中国人民解放军横渡长江、文人所记载的“六朝文化”带有虚幻色彩,"南京地居长江下游，扼华中水陆交通的枢纽，东接全国第一大海港上海，溯江而上，并能控制西部诸省，为孙吴、东晋、宋、齐、梁、陈、南唐、明初八代及太平天国的故都，二十年来国民党反动统治的军政中心。南京市由南京城区及浦口、汤山等郊区组成，东以乌龙山外廓遗址、汤山，南以铁心桥、西善桥、大胜关界江宁县，西以长江、浦口镇界江浦县，北以长江界六合县。全市幅员东西三十公里，南北四十公里，据一九四八年六月伪市政府《南京市统计季刊》①发表，总面积五五九•二七六平方公里（八三八九一五市亩）。下关为城区的一部分，位于挹江门外长江沿岸，为轮船码头及京沪车站所在地，商业繁盛。一八五八年，英法侵略军侵陷大沽，订《天津条约》，规定辟南京为商埠，当时因南京为太平革命军首都，未克实行。一八九九年，满清政府开放下关，设金陵关，帝国主义势力得以进一步的侵入。一九二七年革命军攻克南京，美、英、法帝国主义驻南京的兵舰向城内开炮，帮助国民党反动派屠杀中国人民②。至今下关码头，大部分仍在帝国主义手中。
——《南京概况》"
154,中山,中山,,山脉,方位与位置,溧水区独山,宋代,宋代,118.8858,31.6516,,太平、胡汉民、谭延闿、杨廷宝、朱元璋、于右任、洪秀全、江总、王安石、吴稚晖,金山、孝陵、京城、中华门、鼓楼、新街口、太平门、挹江门、光华门、钟山、玄武、明故宫、灵谷寺、金陵、长江、秦淮、通济门、朝阳门、和平门、水西门、中央大学、雨花台、山西路、玄武门、西园、逸仙桥、中路、白下、汉中路、上海路、市政府、太平路、铁道部、孝陵卫、玄武湖、燕子矶、定淮门、神策门、花山、石头城、东花园、东园、秦淮河、海陵、汉西门、红山、聚宝门、明故宫遗址、清凉山、台城、博物院、护城河、金陵大学、茅山、前湖、狮子山、汤山、西康路、兴中门、夫子庙、金川门、励志社、莫愁湖、麒麟门、外交部、中央门、珠江路、半山园、北极阁、交通部、西华门、新河、中正路、财政部、大行宫、汉口路、湖南路、鸡鸣寺、建康、老虎洞、立法院、栖霞、青溪、清凉门、武定门、行宫、仪凤门、中央路、中央医院、工兵学校、广州路、江东门、李文忠墓、龙潭、南门、内桥、热河路、三山、天堡城、玄津桥、中央党部、中央研究院、最高法院、白下路、板桥、察院、常遇春墓、东华门、国府路、华山、黄埔路、建设委员会、九华山、牌楼、上新河、天文台、瓮城、五台山、中华路、报恩寺、北门桥、草场门、成贤街、祠堂、大报恩寺、大功坊、东水关、富贵山、甘露巷、鼓楼医院、洪武路、华侨招待所、宁海路、胜棋楼、石城门、太庙、午朝门、武定桥、小东门、御道、钟阜门,长城画片公司和新影片公司各自拍摄《孙中山陵墓奠基记》、中华影戏院开映《国民革命海陆空大战记》、上海长城画片公司拍摄孙中山总理奉安大典、《中央日报》刊载《哀歌》简谱、孙中山的铜棺在中山陵安葬、戴季陶下令禁演《孙中山之死》、励志社新馆落成、许士骐等展出书画、国立中央大学艺术音乐系歌咏团举行学期终结音乐大会、大戏院建成并开业、杭州艺专学生在中山伯敏堂举行艺术问题座谈会、香鹤书局南京分号开业、上海圣乐团在中山陵园举办音乐会、《潘玉良女士绘画展览》展出、日本影片《土地与士兵》公映、中山医院为筹募基金举办名票名伶会串、日本武士道剑道技术团来南京、上海电影界首都观光团全体谒中山陵、汪精卫手令保护中山陵墓、蒋介石主持国民政府还都大典、中国人民解放军占领南京、中苏友好协会南京分会成立、江苏省文物管理委员会迁至南京中山门、国务院正式公布南京市的中山陵、明孝陵为全国重点文物保护单位、侯宝林、郭全宝等在南京演出、南京市对中山陵进行全面整修、“中山业余京剧艺术培训班筹募基金演出”在南京市体育馆举行、中山业余京剧艺术培训班开学、《孙中山》在南京举行首映式、中山陵园管理处等完成了明孝陵维修总体规划、南京博物院举办“孙中山先生文物真迹大展”、南京市文化局举办《祖国万岁》大型广场演出、南京市文化局举办《金陵风》、南京市政公署令园林管理新修葺中山陵园、毛泽东主席在南京视察古迹文物、《古典书画、陶瓷展览》等在中山陵、玄武湖展出、非洲等24个国家的青年代表82人到达南京参观访问、南京举办了历史文化展览系列等活动,
17,青溪,青溪,,水体,方位与位置,青溪,六朝,六朝,118.795,32.04,《建康实录》、《景定建康志》、《六朝事迹编类》,太平、江总、蒋山、方山、王徽、马光祖、卞壸、王广、史正志、王安石,秦淮、运渎、建康、潮沟、钟山、金陵、秦淮河、东渠、淮青桥、玄武、玄武湖、后湖、淮水、淮清桥、湘宫寺、内桥、四象桥、护城河、竹桥、蒋山、太平门、东府城、大中桥、方山、浮桥、菰首桥、前湖、燕雀湖、虹桥、娄湖、桃叶渡、御河、放生池、覆舟山、江总宅、升平桥、台城、通济门、先贤祠、白下、东水关、芳林苑、皇城、鹫峰寺、乐游苑、娄湖苑、天津桥、竺桥、斗门桥、青龙山、石头城、亭山、钟山书院、笪桥、东门桥、贡院、鸡笼山、鸡鸣桥、募士桥、西虹桥、中山、板桥、半山寺、草堂、东虹桥、归善寺、明故宫、太平桥、铁窗棂、西水关、扬州、道济、京城、秣陵、行宫、珍珠河、大阳沟、东宫、华山、建康城、利涉桥、秦淮水、西陵、萧家渡、邀笛步,武帝幸青溪旧宫、青溪小姑、王士稹作诗咏蒋王庙、王安石喜欢“半”字、潘之恒青溪社、众多文人题咏金陵胜迹、吴敬梓故居并非江宅旧址、秦淮河两岸地名与文学有关、鹫峰寺并非在江总遗宅基上、消弭天子气、吴敬梓作23首《金陵景物图诗》、“金陵十景”、金陵名胜20景,"《六朝事迹》：按《舆地志》，青溪岸侧有神祠，世谓青溪姑，南朝甚有灵验，尝见形于人祠。今与上水闸相近，说者云隋平陈，斩张丽华、孔贵嫔于青溪栅下。今祠像有三妇人，乃青溪姑与二妃也。《秣陵集》：王葑亭《金陵杂咏》有张丽华祠，不详其处。考之志乘，亦未有云建祠者。惟《王渔洋诗话》云秦淮青溪上有张丽华小祠，不知何代所建。金陵图经不载。《金陵志地录》：周文璞诗序云，祠祀子文妹，而旁列二偶，则叔宝宫人。或言有妖据之。郡守毁三像，犁其庙，善恶无别而废。盖小姑与兄殉国难者。陈文述《张丽华祠》：璧月依然琼树枯，玉容犹似忆黄奴。过江青盖无消息，寂寞青溪伴小姑。临春结绮已销沉，遗庙荒凉碧藓侵。惟有青溪呜咽水，千年犹似怨韩擒。
——《金陵胜迹志》"
35,台城,臺城,苑城,城池,其他,玄武湖南,六朝,六朝,118.7903,32.0438,《景定建康志》、《建康实录》、《至正金陵新志》,太平、韦庄、蒋山、朱偰、萧衍,建康、鸡鸣寺、同泰寺、玄武、金陵、玄武湖、建康宫、东宫、京城、石头城、太平门、覆舟山、端门、秦淮、胭脂井、建康城、中华门、钟山、青溪、中山、北极阁、鸡笼山、南门、潮沟、行宫、玄武门、珠江路、东华门、后湖、太初宫、西华门、运渎、大行宫、东府城、鼓楼、乐游苑、秦淮河、石阙、长江、华林园、淮水、蒋山、清凉山、玄圃、越城、白下、成贤街、芳乐苑、和平门、华山、鸡鸣山、建业、景阳井、九华山、神策门、市政府、太极殿、孝陵、新亭、朱雀航,南京市举行“中日合作修复南京城墙”开工典礼、南京市文化局等举办“南京文物事业50年回顾展”、豁蒙楼名出自杜甫诗句,"由于太子萧统早死，梁武帝未按惯例立萧统子萧詧（音：chá）作皇太孙，而改立萧纲为太子，皇族内部矛盾因而激化。这时，权臣侯景与萧正德勾结乘机起兵，攻破台城，史称“侯景之乱”。太清三年（549年）三月，台城被破时，侯景纵兵“掠妇女珍宝”，残杀百姓。86岁的萧衍被囚禁于台城净居殿，“心所求不供，忧愤寝疾。五月丙辰，帝幽馁而崩”。据说，梁武帝病中嘴里发苦，想吃蜜糖，侯景拒绝供应，萧衍口喊“荷荷”而死。这就是梁武帝饿死台城的故事。
——《名人与南京》"
34,石头城,石頭城,,城池,山川,清凉山石头城遗址公园,六朝,六朝,118.7571,32.0519,《建康实录》,太平、陈霸先、方山、蒋山、袁粲、朱元璋、刘禹锡、葛亮,金陵、建康、清凉山、秦淮、石头山、秦淮河、建业、秣陵、扬州、冶城、长江、台城、钟山、东府城、狮子山、中华门、中山、京城、丹阳郡、建康城、莫愁湖、太平门、玄武、雨花台、白下、鸡笼山、上元、西园、玄武湖、越城、草场门、青溪、清凉门、四望山、定淮门、方山、鼓楼、蒋山、大江、丹阳郡城、覆舟山、鸡鸣寺、金陵邑城、石头津、孝陵、运渎、东水关、金山、龙潭、上元县、通济门、乌龙潭、西水关、中山门、白下城、马鞍山、牛首山、清凉寺、神策门、水西门、未央宫、武昌、长乐宫,南京地名源流与文人作品有关、建业、鲍照作诗、史万岁感叹石头城的险峻、“金陵十景”,"在今南京市虎踞路以西、东距明代清凉门约三百米处，有一段山体悬崖，上建巍峨的城墙，悬崖面上斑驳崎岖，颇类鬼面，人称“鬼脸城”，这就是江苏省级文物保护单——六朝石头城遗迹。据专家调查，鬼脸城所在的明城墙上有一些年代较早的城砖，疑为六朝遗物，但由于该地地势陡峻，更详细的考古工作未能进行，所以指认这里就代表着六朝时代的石头城遗址，证据尚不完备。所以，近年来有专家认为，孙权所筑石头城应在今草场门一带，亦有说在定淮门附近。
——《南京明清建筑》"
16,淮水,淮水,秦淮河；秦淮水；秦淮,水体,史实传说与作品,秦淮河,六朝,六朝,118.7437,32.0549,《建康实录》、《景定建康志》,方山、蒋山、吴敬梓,秦淮、方山、钟山、金陵、青溪、秦淮河、建康、秣陵、水亭、瓦官寺、大中桥、东水关、浮桥、淮青桥、镇淮桥、朱雀桥、东府城、陶官、运渎、虹桥、建业、西水关、扬州、蒋山、通济门、朱雀航、牛市、四象桥、下浮桥、新桥、饮虹桥、越城、丹阳郡、方山埭、华山、龙藏浦、三山、台城、五城、板桥、大江、淮清桥、利涉桥、溧水、秣陵县、上元、桃叶渡、文德桥、张侯桥,,"汉末，孙权建立吴国，于黄龙元年筑都城于覆舟山侧。东绕平冈，西控石头，前拥秦淮，北带玄武，周回二十里十九步。其正门曰宣阳。(在今中正街。)又南五里至淮水，有大航门。(在今长乐渡处。)赤乌十年，作太初宫于其中，周围五百丈，开八门，前五门曰公车，曰昇贤，曰明阳，曰左掖，曰右掖。东一门，曰青龙；西一门，曰白虎；后一门，曰玄武。又于宫后拓苑城而大之，(在今汉府、珍珠桥之间。)此台城之初基也。东晋以来，沿其旧制，开十二门：南曰宣阳，曰开阳，稍东曰清明，稍西曰陵阳；正东曰东阳，曰建春；正西曰阊阖，曰西明；正北曰玄武，曰大夏，曰广莫，曰延熙。改吴大航门为朱雀，又缮苑城以为新宫。正南曰大司马门，(在今西华门大街，)与都城宣阳门对；北曰平昌门；(在今成贤街南口。)东西二门，曰东掖，曰西掖。内有太极殿、清暑殿。厥后宋、齐、梁、陈皆仍旧。惟改开阳门曰津阳，陵阳门曰广阳，广莫门曰北掖，而于台城东西开万春、千秋二门，后改为云龙、神虎。宋则有含章、明阳、芳乐等殿。齐、梁则有重云、五明、披香等殿。陈则有景阳楼及临春、结绮、望仙三阁，皆在台城之中。至隋平江南，建康城邑宫阐，皆平垦为田，南朝遗迹扫地尽矣。
——《金陵琐志九种下》"
10,三山,三山,,山脉,史实传说与作品,江苏南京市西南，长江东岸板桥浦西,六朝,六朝,118.6015,31.9224,,太平、李白、方山、谢朓、朱元璋、王浚,聚宝门、通济门、京城、白鹭洲、秦淮、南门、石城门、水西门、金陵、板桥、太平门、北门桥、大江、神策门、建康、内桥、上元、大中桥、江宁县、定淮门、清凉门、凤凰台、金川门、浮桥、莫愁湖、仪凤门、白下、朝阳门、承恩寺、后湖、花市、秦淮河、新桥、玄武、钟阜门、板桥浦、烈山、南门大街、上元县、土山、西水关、中山、钟山、方山、淮水、江东门、牌楼、瓮城、燕雀湖、冶城、长江、镇淮桥、中华门、板桥镇、大功坊、都督府、斗门桥、督府、鼓楼、汉西门、花牌楼、江宁镇、净觉寺、评事街、上新河、下浮桥、新河、应天府、中正街,“金陵十景”、俞安期等结春社,"险要的形势，使石头城一带成为南京地区古战场之一。六朝以来，这里进行过多次战伐。天纪四年(280），晋益州刺史龙骧将军王浚率拥有楼船的水师，自武昌浮江东下。吴军置铁索横江阻截，晋兵用火熔断铁索，经三山直抵石头城下，灭亡了吴国。
——《南京地名源》"
